2026-06-25 21:24:55 | DEBUG    | scrapers.company_career_scraper | [careers_page] Sarvam AI: 15 AI/ML jobs found
2026-06-25 21:24:56 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.olakrutrim.com/careers
2026-06-25 21:25:00 | DEBUG    | scrapers.company_career_scraper | [careers_page] Fractal Analytics: 0 AI/ML jobs found
2026-06-25 21:25:02 | DEBUG    | scrapers.company_career_scraper | [careers_page] Tiger Analytics: 20 AI/ML jobs found
2026-06-25 21:25:04 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.tredence.com/careers
2026-06-25 21:25:06 | DEBUG    | scrapers.company_career_scraper | [careers_page] Mu Sigma: 4 AI/ML jobs found
2026-06-25 21:25:07 | DEBUG    | scrapers.company_career_scraper | [careers_page] Mad Street Den: 0 AI/ML jobs found
2026-06-25 21:25:11 | DEBUG    | scrapers.company_career_scraper | [careers_page] Eightfold AI: 2 AI/ML jobs found
2026-06-25 21:25:11 | DEBUG    | scrapers.company_career_scraper | [careers_page] Flipkart: 0 AI/ML jobs found
2026-06-25 21:25:14 | DEBUG    | scrapers.company_career_scraper | [careers_page] Walmart Labs: 0 AI/ML jobs found
2026-06-25 21:25:14 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.zoho.com/careers/jobs/
2026-06-25 21:25:18 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.freshworks.com/company/careers/jobs/
2026-06-25 21:25:18 | DEBUG    | scrapers.company_career_scraper | [careers_page] Razorpay: 0 AI/ML jobs found
2026-06-25 21:25:20 | DEBUG    | scrapers.company_career_scraper | [careers_page] Zerodha: 0 AI/ML jobs found
2026-06-25 21:25:21 | DEBUG    | scrapers.company_career_scraper | [careers_page] Groww: 0 AI/ML jobs found
2026-06-25 21:25:23 | DEBUG    | scrapers.company_career_scraper | [careers_page] Swiggy: 0 AI/ML jobs found
2026-06-25 21:25:25 | DEBUG    | scrapers.company_career_scraper | [careers_page] Zomato: 0 AI/ML jobs found
2026-06-25 21:25:26 | DEBUG    | scrapers.company_career_scraper | [careers_page] Juspay: 1 AI/ML jobs found
2026-06-25 21:25:29 | DEBUG    | scrapers.company_career_scraper | [careers_page] Dream11: 0 AI/ML jobs found
2026-06-25 21:25:29 | DEBUG    | scrapers.company_career_scraper | [careers_page] Paytm: 0 AI/ML jobs found
2026-06-25 21:25:31 | DEBUG    | scrapers.company_career_scraper | [careers_page] Rippling: 0 AI/ML jobs found
2026-06-25 21:25:32 | DEBUG    | scrapers.company_career_scraper | [careers_page] BrowserStack: 2 AI/ML jobs found
2026-06-25 21:25:35 | DEBUG    | scrapers.company_career_scraper | [careers_page] Innovaccer: 0 AI/ML jobs found
2026-06-25 21:25:36 | DEBUG    | scrapers.company_career_scraper | [careers_page] Glean: 14 AI/ML jobs found
2026-06-25 21:25:38 | DEBUG    | scrapers.company_career_scraper | [careers_page] Sprinklr: 5 AI/ML jobs found
2026-06-25 21:25:41 | DEBUG    | scrapers.company_career_scraper | [careers_page] Hasura: 0 AI/ML jobs found
2026-06-25 21:25:42 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://www.observe.ai/company/careers
2026-06-25 21:25:44 | WARNING  | scrapers.base_scraper     | [careers_page] HTTP error 404 for https://yellow.ai/careers/
2026-06-25 21:25:44 | INFO     | scrapers.base_scraper     | [careers_page] Scraped 200 jobs
2026-06-25 21:25:44 | INFO     | scrapers.scraper_manager  | Γ£ô Company Career Pages: 200 jobs (144.4s)
2026-06-25 21:25:44 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:25:44 | INFO     | scrapers.scraper_manager  | Running: LinkedIn
2026-06-25 21:25:44 | INFO     | scrapers.base_scraper     | [linkedin] Starting scrape...
2026-06-25 21:25:51 | INFO     | scrapers.base_scraper     | [linkedin] Scraped 19 jobs
2026-06-25 21:25:51 | INFO     | scrapers.scraper_manager  | Γ£ô LinkedIn: 19 jobs (6.6s)
2026-06-25 21:25:51 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:25:51 | INFO     | scrapers.scraper_manager  | Running: Wellfound
2026-06-25 21:25:51 | INFO     | scrapers.base_scraper     | [wellfound] Starting scrape...
2026-06-25 21:25:52 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for POST https://wellfound.com/graphql
2026-06-25 21:25:53 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for POST https://wellfound.com/graphql
2026-06-25 21:25:55 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for POST https://wellfound.com/graphql
2026-06-25 21:25:56 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for https://wellfound.com/role/l/machine-learning-engineer/india
2026-06-25 21:25:57 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for https://wellfound.com/role/l/data-scientist/india
2026-06-25 21:25:59 | WARNING  | scrapers.base_scraper     | [wellfound] HTTP error 403 for https://wellfound.com/role/l/artificial-intelligence-engineer/india
2026-06-25 21:25:59 | INFO     | scrapers.base_scraper     | [wellfound] Scraped 0 jobs
2026-06-25 21:25:59 | INFO     | scrapers.scraper_manager  | Γ£ô Wellfound: 0 jobs (7.6s)
2026-06-25 21:25:59 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:25:59 | INFO     | scrapers.scraper_manager  | Running: Instahyre
2026-06-25 21:25:59 | INFO     | scrapers.base_scraper     | [instahyre] Starting scrape...
2026-06-25 21:26:07 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for POST https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:07 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:09 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for POST https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:11 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:12 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for POST https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:14 | WARNING  | scrapers.base_scraper     | [instahyre] HTTP error 404 for https://www.instahyre.com/api/v1/search/jobs/
2026-06-25 21:26:14 | INFO     | scrapers.base_scraper     | [instahyre] Scraped 0 jobs
2026-06-25 21:26:14 | INFO     | scrapers.scraper_manager  | Γ£ô Instahyre: 0 jobs (15.0s)
